Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Australia and New Zealand,total,Sanitation,2024,5.36589,1713174.79036,Basic service
sdg,Australia and New Zealand,total,Sanitation,2024,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2024,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2024,94.63411,30213974.24987,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2024,0,0,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2024,99.97459,31919037.79307,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2024,100,4212567.56,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2024,0.31992,88665.73888,Basic service
sdg,Australia and New Zealand,total,Drinking water,2024,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2024,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2024,0,0,Limited service
sdg,Australia and New Zealand,total,Drinking water,2024,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2024,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2024,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2024,99.65081,27617805.4655,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2024,0.02541,8111.20693,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2024,0,0,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2024,0.02927,8110.7971,Unimproved
sdg,Central and Southern Asia,total,Hygiene,2024,86.52793,1857133703.24211,Basic service
sdg,Central and Southern Asia,rural,Hygiene,2024,82.29757,1076989822.74193,Basic service
sdg,Central and Southern Asia,urban,Hygiene,2024,93.13716,780143885.96915,Basic service
sdg,Central and Southern Asia,total,Hygiene,2024,10.8796,233506928.55475,Limited service
sdg,Central and Southern Asia,rural,Hygiene,2024,14.65768,191818158.02516,Limited service
sdg,Central and Southern Asia,urban,Hygiene,2024,4.977,41688771.90445,Limited service
sdg,Central and Southern Asia,total,Hygiene,2024,2.59247,55641723.20314,No handwashing facility
sdg,Central and Southern Asia,rural,Hygiene,2024,3.04476,39845337.23291,No handwashing facility
sdg,Central and Southern Asia,urban,Hygiene,2024,1.88585,15796386.22641,No handwashing facility
sdg,Central and Southern Asia,total,Sanitation,2024,22.77829,488886332.765,Basic service
sdg,Central and Southern Asia,rural,Sanitation,2024,16.70351,218591041.55958,Basic service
sdg,Central and Southern Asia,urban,Sanitation,2024,32.27546,270348653.07896,Basic service
sdg,Central and Southern Asia,total,Sanitation,2024,10.20257,218975856.07823,Limited service
sdg,Central and Southern Asia,rural,Sanitation,2024,9.03555,118244033.50068,Limited service
sdg,Central and Southern Asia,urban,Sanitation,2024,12.02133,100694128.49311,Limited service
sdg,Central and Southern Asia,total,Sanitation,2024,6.00516,128887708.63659,Open defecation
sdg,Central and Southern Asia,rural,Sanitation,2024,9.51817,124559830.74576,Open defecation
sdg,Central and Southern Asia,urban,Sanitation,2024,0.07402,620003.51936,Open defecation
sdg,Central and Southern Asia,total,Sanitation,2024,58.42069,1253872875.35474,Safely managed service
sdg,Central and Southern Asia,rural,Sanitation,2024,61.49183,804714888.59333,Safely managed service
sdg,Central and Southern Asia,urban,Sanitation,2024,53.62254,449157991.39897,Safely managed service
sdg,Central and Southern Asia,total,Sanitation,2024,2.5933,55659578.43538,Unimproved
sdg,Central and Southern Asia,rural,Sanitation,2024,3.25094,42543534.62317,Unimproved
sdg,Central and Southern Asia,urban,Sanitation,2024,2.00665,16808269.40699,Unimproved
sdg,Central and Southern Asia,total,Drinking water,2024,18.13557,389240468.30659,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2024,20.82998,272592210.57458,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2024,13.926,116648257.61905,Basic service
sdg,Central and Southern Asia,total,Drinking water,2024,2.45111,52607635.65949,Limited service
sdg,Central and Southern Asia,rural,Drinking water,2024,2.97478,38929530.41747,Limited service
sdg,Central and Southern Asia,urban,Drinking water,2024,1.63295,13678105.2967,Limited service
sdg,Central and Southern Asia,total,Drinking water,2024,0.64179,13774590.09294,Surface water
sdg,Central and Southern Asia,rural,Drinking water,2024,0.94108,12315461.6395,Surface water
sdg,Central and Southern Asia,urban,Drinking water,2024,0.1742,1459128.57906,Surface water
sdg,Central and Southern Asia,total,Drinking water,2024,76.98309,1652274446.53101,Safely managed service
sdg,Central and Southern Asia,rural,Drinking water,2024,73.1339,957069265.50154,Safely managed service
sdg,Central and Southern Asia,urban,Drinking water,2024,82.99679,695205185.88153,Safely managed service
sdg,Central and Southern Asia,total,Drinking water,2024,1.78845,38385194.24436,Unimproved
sdg,Central and Southern Asia,rural,Drinking water,2024,2.12026,27746839.92623,Unimproved
sdg,Central and Southern Asia,urban,Drinking water,2024,1.27006,10638369.2947,Unimproved
sdg,Eastern and South-Eastern Asia,total,Hygiene,2024,93.86264,2206959327.74082,Basic service
sdg,Eastern and South-Eastern Asia,rural,Hygiene,2024,90.71664,778733629.20394,Basic service
sdg,Eastern and South-Eastern Asia,urban,Hygiene,2024,95.67168,1428225655.07954,Basic service
